wid,total_judgments,gold_coverage,acc_exact_m1,within1_m1,mae_m1,majority_agreement,duration_median,very_fast_pct,rationale_empty_pct,stability_std,stability_min,worker_trust_score
wid#18,1737,100.0,27.35,76.57,0.9959700633275763,69.6,76.0,0.0,0.06,0.02227465989885217,0.24870466321243523,0.6251212449086617
wid#11,129,100.0,24.81,65.89,1.0930232558139534,77.32,90.0,0.0,0.0,0.1420953703862276,0.09302325581395349,0.6009668515452341
wid#103,98,100.0,33.67,77.55,0.9081632653061225,57.14,170.5,0.0,0.0,0.2165567384215274,0.15625,0.5851507918076939
wid#80,334,100.0,15.57,67.96,1.2125748502994012,58.24,58.5,0.0,0.0,0.027996938977424272,0.13513513513513514,0.5836880664153743
wid#97,28,100.0,28.57,100.0,0.7142857142857143,55.56,43.0,0.0,0.0,0.24478091321271564,0.0,0.5811452380376633
wid#50,79,100.0,31.65,63.29,1.0759493670886076,68.18,64.0,1.27,0.0,0.16391879284892186,0.15384615384615385,0.5697009845388094
wid#1,384,100.0,19.53,62.24,1.296875,62.96,103.0,0.0,0.0,0.06394806853025352,0.140625,0.5653897792002643
wid#106,29,100.0,27.59,58.62,1.1379310344827587,88.46,58.0,0.0,0.0,0.20377103264413216,0.1111111111111111,0.557470152672241
wid#149,27,100.0,33.33,81.48,0.8518518518518519,40.0,1142.0,0.0,3.7,0.1111111111111111,0.2222222222222222,0.517057589839925
wid#102,22,100.0,27.27,54.55,1.3636363636363635,64.71,36.0,0.0,0.0,0.14433756729740643,0.14285714285714285,0.5146557949410814
wid#17,1795,100.0,18.16,66.85,1.1515320334261838,66.57,14.0,17.83,0.0,0.03012397896727453,0.15859766277128548,0.5073985194747546
wid#79,52,100.0,26.92,84.62,0.8846153846153846,73.47,10.0,46.15,0.0,0.22492113473947403,0.11764705882352941,0.5063798450087111
wid#95,27,100.0,18.52,74.07,1.0740740740740742,60.87,77.0,0.0,0.0,0.1697250257391052,0.0,0.49793668041694583
wid#5,949,100.0,24.97,55.11,1.3530031612223392,60.39,54.0,0.0,0.0,0.15128444237484642,0.12974683544303797,0.4859622139454689
wid#16,824,100.0,12.99,50.0,1.5109223300970873,58.23,30.0,0.0,0.0,0.028473439748789374,0.09818181818181818,0.48012195815730424
wid#60,203,100.0,17.24,49.26,1.4975369458128078,61.18,69.0,0.0,0.0,0.07599971975259343,0.10294117647058823,0.4734373272297484
wid#150,21,100.0,4.76,38.1,1.7619047619047619,82.35,69.0,0.0,0.0,0.08247860988423225,0.0,0.4593303954928368
wid#101,139,100.0,19.42,54.68,1.4964028776978417,50.93,2298.0,0.0,0.0,0.10063434052022814,0.10638297872340426,0.442194810716864
wid#100,30,100.0,16.67,53.33,1.4666666666666666,37.04,790.5,0.0,0.0,0.05773502691896257,0.1,0.43779414339995204
wid#28,106,100.0,9.43,50.0,1.471698113207547,49.35,139.0,0.0,0.0,0.04434039218104403,0.05555555555555555,0.422352152191907
wid#49,307,100.0,23.45,60.91,1.241042345276873,63.92,11.0,33.22,0.0,0.12569419344325236,0.10784313725490197,0.40803039738691815
wid#15,1010,100.0,7.92,27.62,1.9811881188118812,40.65,18.0,0.89,0.0,0.015085247135668394,0.06528189910979229,0.38151232367641263
wid#26,26,100.0,11.54,30.77,1.9230769230769231,46.67,42.0,0.0,0.0,0.1111111111111111,0.0,0.3249936189113637
