agency,n_issues,ack_count,ack_rate,ack_time_mean,ack_time_median,close_count,close_rate,close_time_mean,close_time_median,comments_mean,n_months,ack_rate_std,ack_time_median_std,agency_trust_score
Adverse Event CH Response,42,12,28.57,28.57534722222222,0.6822222222222223,42,100.0,38.25088624338624,16.691388888888888,2.4047619047619047,6,0.19291621670213902,83.1921764475818,0.7047421603363994
Hurricane Florence CH Response Team,126,23,18.25,26.18475845410628,2.6352777777777776,125,99.21,779.7361733333333,10.219722222222222,1.8015873015873016,4,0.10825445382990345,150.96386045869713,0.6257049671912568
Traffic Signals - Chapel Hill & Carrboro,569,348,61.16,58.89741538952745,4.486944444444445,569,100.0,728.5082435071275,49.469166666666666,3.843585237258348,81,0.27263196971260945,1233.886946218574,0.5969145979094197
Hurricane Dorian CH Response Team,24,10,41.67,1.859722222222222,0.19569444444444445,24,100.0,37.71979166666667,0.3581944444444445,2.3333333333333335,1,,,0.5749306509338259
Hurricane Isaias CH Response Team,19,6,31.58,18.45259259259259,0.7716666666666667,19,100.0,434.23970760233914,0.2086111111111111,2.0,1,,,0.5147384528243184
Winter Storm Diego CH Response Team,65,25,38.46,8.689066666666667,0.9975,65,100.0,1201.2995213675215,22.1025,1.8923076923076922,2,0.28059792904228076,,0.4912294769458587
Hurricane Michael CH Response Team,111,2,1.8,3.275,3.275,110,99.1,375.1949090909091,90.21222222222222,1.7567567567567568,3,0.011320593513522074,,0.36232088600834134
"Chapel Hill, NC",6157,1766,28.68,139.77593148357872,18.555972222222223,5866,95.27,496.5193610542865,93.18916666666667,3.3331167776514534,96,0.18032078004459978,959.8581336935854,0.2703473196846444
